qualifyId,raceId,driverId,constructorId,number,position,q1,q2,q3,circuitId
1,18,1,1,22,1,00:01:26.572000,00:01:26.714000,00:01:26.714000,1
2,18,9,2,4,2,00:01:26.103000,00:01:26.869000,00:01:26.869000,1
3,18,5,1,23,3,00:01:25.664000,00:01:27.079000,00:01:27.079000,1
4,18,13,6,2,4,00:01:25.994000,00:01:27.178000,00:01:27.178000,1
5,18,2,2,3,5,00:01:25.960000,00:01:27.236000,00:01:27.236000,1
6,18,15,7,11,6,00:01:26.427000,00:01:28.527000,00:01:28.527000,1
7,18,3,3,7,7,00:01:26.295000,00:01:28.687000,00:01:28.687000,1
8,18,14,9,9,8,00:01:26.381000,00:01:29.041000,00:01:29.041000,1
9,18,10,7,12,9,00:01:26.919000,00:01:29.593000,00:01:29.593000,1
10,18,20,5,15,10,00:01:26.702000,,,1
11,18,22,11,17,11,00:01:26.369000,,,1
12,18,4,4,5,12,00:01:26.907000,,,1
13,18,18,11,16,13,00:01:26.712000,,,1
14,18,6,3,8,14,00:01:26.891000,,,1
15,18,17,9,10,15,00:01:26.914000,,,1
16,18,8,6,1,16,00:01:26.140000,,,1
17,18,21,10,21,17,00:01:27.207000,,,1
18,18,7,5,14,18,00:01:27.446000,,,1
19,18,16,10,20,19,00:01:27.859000,,,1
20,18,11,8,18,20,00:01:28.208000,,,1
21,18,12,4,6,21,00:01:28.330000,,,1
22,18,19,8,19,22,00:01:29.059000,,,1
23,19,13,6,2,1,00:01:35.347000,00:01:35.748000,00:01:35.748000,2
24,19,8,6,1,2,00:01:35.645000,00:01:36.230000,00:01:36.230000,2
25,19,5,1,23,3,00:01:35.227000,00:01:36.613000,00:01:36.613000,2
26,19,1,1,22,4,00:01:35.392000,00:01:36.709000,00:01:36.709000,2
27,19,15,7,11,5,00:01:35.205000,00:01:36.711000,00:01:36.711000,2
28,19,9,2,4,6,00:01:35.794000,00:01:36.727000,00:01:36.727000,2
29,19,2,2,3,7,00:01:35.729000,00:01:36.753000,00:01:36.753000,2
30,19,17,9,10,8,00:01:35.440000,00:01:37.009000,00:01:37.009000,2
31,19,4,4,5,9,00:01:35.983000,00:01:38.450000,00:01:38.450000,2
32,19,10,7,12,10,00:01:35.891000,00:01:39.656000,00:01:39.656000,2
33,19,18,11,16,11,00:01:35.847000,,,2
34,19,14,9,9,12,00:01:36.058000,,,2
35,19,12,4,6,13,00:01:36.074000,,,2
36,19,22,11,17,14,00:01:36.198000,,,2
37,19,20,5,15,15,00:01:36.111000,,,2
38,19,3,3,7,16,00:01:35.843000,,,2
39,19,21,10,21,17,00:01:36.240000,,,2
40,19,6,3,8,18,00:01:36.388000,,,2
41,19,7,5,14,19,00:01:36.677000,,,2
42,19,11,8,18,20,00:01:37.087000,,,2
43,19,16,10,20,21,00:01:37.101000,,,2
44,19,19,8,19,22,00:01:37.481000,,,2
45,20,9,2,4,1,00:01:32.893000,00:01:33.096000,00:01:33.096000,3
46,20,13,6,2,2,00:01:31.937000,00:01:33.123000,00:01:33.123000,3
47,20,1,1,22,3,00:01:32.750000,00:01:33.292000,00:01:33.292000,3
48,20,8,6,1,4,00:01:32.652000,00:01:33.418000,00:01:33.418000,3
49,20,5,1,23,5,00:01:33.057000,00:01:33.488000,00:01:33.488000,3
50,20,2,2,3,6,00:01:33.137000,00:01:33.737000,00:01:33.737000,3
51,20,15,7,11,7,00:01:32.493000,00:01:33.994000,00:01:33.994000,3
52,20,3,3,7,8,00:01:32.903000,00:01:34.015000,00:01:34.015000,3
53,20,18,11,16,9,00:01:32.793000,00:01:35.057000,00:01:35.057000,3
54,20,4,4,5,10,00:01:32.947000,00:01:35.115000,00:01:35.115000,3
55,20,17,9,10,11,00:01:33.194000,,,3
56,20,22,11,17,12,00:01:32.944000,,,3
57,20,10,7,12,13,00:01:32.800000,,,3
58,20,12,4,6,14,00:01:32.975000,,,3
59,20,7,5,14,15,00:01:33.415000,,,3
60,20,6,3,8,16,00:01:33.386000,,,3
61,20,14,9,9,17,00:01:33.433000,,,3
62,20,21,10,21,18,00:01:33.501000,,,3
63,20,20,5,15,19,00:01:33.562000,,,3
64,20,16,10,20,20,00:01:33.845000,,,3
65,20,19,8,19,21,00:01:34.140000,,,3
66,20,11,8,18,22,00:01:35.725000,,,3
67,21,8,6,1,1,00:01:20.701000,00:01:21.813000,00:01:21.813000,4
68,21,4,4,5,2,00:01:21.347000,00:01:21.904000,00:01:21.904000,4
69,21,13,6,2,3,00:01:21.528000,00:01:22.058000,00:01:22.058000,4
70,21,9,2,4,4,00:01:21.423000,00:01:22.065000,00:01:22.065000,4
71,21,1,1,22,5,00:01:21.366000,00:01:22.096000,00:01:22.096000,4
72,21,5,1,23,6,00:01:21.430000,00:01:22.231000,00:01:22.231000,4
73,21,17,9,10,7,00:01:21.494000,00:01:22.429000,00:01:22.429000,4
74,21,15,7,11,8,00:01:21.158000,00:01:22.529000,00:01:22.529000,4
75,21,2,2,3,9,00:01:21.466000,00:01:22.542000,00:01:22.542000,4
76,21,12,4,6,10,00:01:21.409000,00:01:22.699000,00:01:22.699000,4
77,21,22,11,17,11,00:01:21.548000,,,4
78,21,6,3,8,12,00:01:21.690000,,,4
79,21,18,11,16,13,00:01:21.757000,,,4
80,21,10,7,12,14,00:01:21.427000,,,4
81,21,3,3,7,15,00:01:21.472000,,,4
82,21,7,5,14,16,00:01:21.540000,,,4
83,21,14,9,9,17,00:01:21.810000,,,4
84,21,20,5,15,18,00:01:22.108000,,,4
85,21,21,10,21,19,00:01:22.516000,,,4
86,21,16,10,20,20,00:01:23.224000,,,4
87,21,19,8,19,21,00:01:23.318000,,,4
88,21,11,8,18,22,00:01:23.496000,,,4
89,22,13,6,2,1,00:01:25.994000,00:01:27.617000,00:01:27.617000,5
90,22,5,1,23,2,00:01:26.736000,00:01:27.808000,00:01:27.808000,5
91,22,1,1,22,3,00:01:26.192000,00:01:27.923000,00:01:27.923000,5
92,22,8,6,1,4,00:01:26.457000,00:01:27.936000,00:01:27.936000,5
93,22,9,2,4,5,00:01:26.761000,00:01:28.390000,00:01:28.390000,5
94,22,17,9,10,6,00:01:26.773000,00:01:28.417000,00:01:28.417000,5
95,22,4,4,5,7,00:01:26.836000,00:01:28.422000,00:01:28.422000,5
96,22,15,7,11,8,00:01:26.695000,00:01:28.836000,00:01:28.836000,5
97,22,2,2,3,9,00:01:27.107000,00:01:28.882000,00:01:28.882000,5
98,22,14,9,9,10,00:01:26.939000,00:01:29.959000,00:01:29.959000,5
99,22,3,3,7,11,00:01:27.367000,,,5
100,22,22,11,17,12,00:01:27.355000,,,5
101,22,18,11,16,13,00:01:27.428000,,,5
102,22,20,5,15,14,00:01:27.442000,,,5
103,22,10,7,12,15,00:01:26.614000,,,5
104,22,6,3,8,16,00:01:27.547000,,,5
105,22,12,4,6,17,00:01:27.568000,,,5
106,22,7,5,14,18,00:01:27.621000,,,5
107,22,21,10,21,19,00:01:27.807000,,,5
108,22,16,10,20,20,00:01:28.325000,,,5
109,23,13,6,2,1,00:01:15.190000,00:01:15.787000,00:01:15.787000,6
110,23,8,6,1,2,00:01:15.717000,00:01:15.815000,00:01:15.815000,6
111,23,1,1,22,3,00:01:15.582000,00:01:15.839000,00:01:15.839000,6
112,23,5,1,23,4,00:01:15.295000,00:01:16.165000,00:01:16.165000,6
113,23,9,2,4,5,00:01:15.977000,00:01:16.171000,00:01:16.171000,6
114,23,3,3,7,6,00:01:15.935000,00:01:16.548000,00:01:16.548000,6
115,23,4,4,5,7,00:01:16.646000,00:01:16.852000,00:01:16.852000,6
116,23,15,7,11,8,00:01:16.306000,00:01:17.203000,00:01:17.203000,6
117,23,17,9,10,9,00:01:16.074000,00:01:17.343000,00:01:17.343000,6
118,23,14,9,9,10,00:01:16.086000,,,6
119,23,10,7,12,11,00:01:16.285000,,,6
120,23,18,11,16,12,00:01:16.259000,,,6
121,23,2,2,3,13,00:01:16.650000,,,6
122,23,6,3,8,14,00:01:16.756000,,,6
123,23,22,11,17,15,00:01:16.208000,,,6
124,23,7,5,14,16,00:01:16.806000,,,6
125,23,12,4,6,17,00:01:16.933000,,,6
126,23,20,5,15,18,00:01:16.955000,,,6
127,23,16,10,20,19,00:01:17.225000,,,6
128,23,21,10,21,20,00:01:17.823000,,,6
129,24,1,1,22,1,00:01:16.909000,00:01:17.886000,00:01:17.886000,7
130,24,9,2,4,2,00:01:17.471000,00:01:18.498000,00:01:18.498000,7
131,24,8,6,1,3,00:01:17.301000,00:01:18.735000,00:01:18.735000,7
132,24,4,4,5,4,00:01:17.415000,00:01:18.746000,00:01:18.746000,7
133,24,3,3,7,5,00:01:17.991000,00:01:18.844000,00:01:18.844000,7
134,24,13,6,2,6,00:01:17.231000,00:01:19.048000,00:01:19.048000,7
135,24,5,1,23,7,00:01:17.287000,00:01:19.089000,00:01:19.089000,7
136,24,2,2,3,8,00:01:18.082000,00:01:19.633000,00:01:19.633000,7
137,24,22,11,17,9,00:01:18.256000,00:01:20.848000,00:01:20.848000,7
138,24,17,9,10,10,00:01:17.582000,,,7
139,24,10,7,12,11,00:01:18.321000,,,7
140,24,6,3,8,12,00:01:17.638000,,,7
