raceId,circuitId,date
1,1,2009-03-29
2,2,2009-04-05
3,17,2009-04-19
4,3,2009-04-26
5,4,2009-05-10
6,6,2009-05-24
7,5,2009-06-07
8,9,2009-06-21
9,20,2009-07-12
10,11,2009-07-26
11,12,2009-08-23
12,13,2009-08-30
13,14,2009-09-13
14,15,2009-09-27
15,22,2009-10-04
16,18,2009-10-18
17,24,2009-11-01
18,1,2008-03-16
19,2,2008-03-23
20,3,2008-04-06
21,4,2008-04-27
22,5,2008-05-11
23,6,2008-05-25
24,7,2008-06-08
25,8,2008-06-22
26,9,2008-07-06
27,10,2008-07-20
28,11,2008-08-03
29,12,2008-08-24
30,13,2008-09-07
31,14,2008-09-14
32,15,2008-09-28
33,16,2008-10-12
34,17,2008-10-19
35,18,2008-11-02
36,1,2007-03-18
37,2,2007-04-08
38,3,2007-04-15
39,4,2007-05-13
40,6,2007-05-27
41,7,2007-06-10
42,19,2007-06-17
43,8,2007-07-01
44,9,2007-07-08
45,20,2007-07-22
46,11,2007-08-05
47,5,2007-08-26
48,14,2007-09-09
49,13,2007-09-16
50,16,2007-09-30
51,17,2007-10-07
52,18,2007-10-21
53,3,2006-03-12
54,2,2006-03-19
55,1,2006-04-02
56,21,2006-04-23
57,20,2006-05-07
58,4,2006-05-14
59,6,2006-05-28
60,9,2006-06-11
61,7,2006-06-25
62,19,2006-07-02
63,8,2006-07-16
64,10,2006-07-30
65,11,2006-08-06
66,5,2006-08-27
67,14,2006-09-10
68,17,2006-10-01
69,22,2006-10-08
70,18,2006-10-22
71,1,2005-03-06
72,2,2005-03-20
73,3,2005-04-03
74,21,2005-04-24
75,4,2005-05-08
76,6,2005-05-22
77,20,2005-05-29
78,7,2005-06-12
79,19,2005-06-19
80,8,2005-07-03
81,9,2005-07-10
82,10,2005-07-24
83,11,2005-07-31
84,5,2005-08-21
85,14,2005-09-04
86,13,2005-09-11
87,18,2005-09-25
88,22,2005-10-09
89,17,2005-10-16
90,1,2004-03-07
91,2,2004-03-21
92,3,2004-04-04
93,21,2004-04-25
94,4,2004-05-09
95,6,2004-05-23
96,20,2004-05-30
97,7,2004-06-13
98,19,2004-06-20
99,8,2004-07-04
100,9,2004-07-11
101,10,2004-07-25
102,11,2004-08-15
103,13,2004-08-29
104,14,2004-09-12
105,17,2004-09-26
106,22,2004-10-10
107,18,2004-10-24
108,1,2003-03-09
109,2,2003-03-23
110,18,2003-04-06
111,21,2003-04-20
112,4,2003-05-04
113,70,2003-05-18
114,6,2003-06-01
115,7,2003-06-15
116,20,2003-06-29
117,8,2003-07-06
118,9,2003-07-20
119,10,2003-08-03
120,11,2003-08-24
121,14,2003-09-14
122,19,2003-09-28
123,22,2003-10-12
