car,time,circuit,goals_crossed,racing_line
15,9.0,0.0730000000000075,0.0,"[[1398.364934237251, 1163.5668823351814, 5, 136.63657704161673, [0.0, 0.006987214627929757, 0.0, 0.9999968837908902]], [1395.3812479175983, 1159.554698896464, 5, 126.63657704161673, [0.0, 8.75651076269652e-27, 0.0]], [1390.0106125422235, 1152.3327687067729, 9, 126.63657704161673, [0.0, 8.75651076269652e-27, 0.0, 0.9999972678528843]], [1385.9756442026305, 1144.2879548184046, 9, 116.63657704161673, [0.0, 8.75651076269652e-27, 0.0]], [1380.147356600996, 1132.6676680907617, 13, 116.63657704161673, [0.0, 5.705769129494396e-16, 0.0, 0.9999971497898148]]]"
16,9.0,0.0730000000000075,0.0,"[[1398.364934237251, 1163.5668823351814, 5, 136.63657704161673, [0.0, 0.283231468803162, 0.0, 0.9999992104569692]], [1395.3812479175983, 1159.554698896464, 5, 126.63657704161673, [0.0, 0.004090786232141835, 0.0]], [1390.0106125422235, 1152.3327687067729, 9, 126.63657704161673, [0.0, 0.06787753911714516, 0.0, 0.9999999216234728]], [1385.9756442026305, 1144.2879548184046, 9, 116.63657704161673, [0.0, 0.09628311665173661, 0.0]], [1380.147356600996, 1132.6676680907617, 13, 116.63657704161673, [0.0, 0.2056569196309978, 0.0, 0.9999998185193141]]]"
18,9.0,0.0730000000000075,0.0,"[[1398.364934237251, 1163.5668823351814, 5, 136.63657704161673, [0.0, 0.8938794190701999, 0.0, 0.9999997757973781]], [1395.3812479175983, 1159.554698896464, 5, 126.63657704161673, [0.0, 2.379452444108848e-22, 0.0]], [1390.0106125422235, 1152.3327687067729, 9, 126.63657704161673, [0.0, 3.749703890941854e-08, 0.0, 0.9999981001488979]], [1385.9756442026305, 1144.2879548184046, 9, 116.63657704161673, [0.0, 2.8384371424366748e-06, 0.0]], [1380.147356600996, 1132.6676680907617, 13, 116.63657704161673, [0.0, 0.06437407254750513, 0.0, 0.9999995618345167]]]"
19,9.0,0.0730000000000075,0.0,"[[1398.364934237251, 1163.5668823351814, 5, 136.63657704161673, [0.0, 0.283231468803162, 0.0, 1.4089771594272986]], [1395.3812479175983, 1159.554698896464, 5, 126.63657704161673, [0.0, 1.0, 0.0]], [1390.0106125422235, 1152.3327687067729, 9, 126.63657704161673, [0.0, 1.0, 0.0, 1.4191364331703198]], [1385.9756442026305, 1144.2879548184046, 9, 116.63657704161673, [0.0, 1.0, 0.0]], [1380.147356600996, 1132.6676680907617, 13, 116.63657704161673, [0.0, 1.0, 0.0, 1.4165495324682036]]]"
20,9.0,0.0730000000000075,0.0,"[[1398.364934237251, 1163.5668823351814, 5, 136.63657704161673, [0.0, 9.321159648238365e-07, 0.0, 0.999999971559567]], [1395.3812479175983, 1159.554698896464, 5, 126.63657704161673, [0.0, 8.75651076269652e-27, 0.0]], [1390.0106125422235, 1152.3327687067729, 9, 126.63657704161673, [0.0, 8.75651076269652e-27, 0.0, 0.9999999738762824]], [1385.9756442026305, 1144.2879548184046, 9, 116.63657704161673, [0.0, 8.75651076269652e-27, 0.0]], [1380.147356600996, 1132.6676680907617, 13, 116.63657704161673, [0.0, 5.521207203292116e-16, 0.0, 0.9999999729726153]]]"
22,9.0,0.0730000000000075,0.0,"[[1398.364934237251, 1163.5668823351814, 5, 136.63657704161673, [0.0, 5.66437035144097e-06, 0.0, 0.9999999228767902]], [1395.3812479175983, 1159.554698896464, 5, 126.63657704161673, [0.0, 0.9993136418033202, 0.0]], [1390.0106125422235, 1152.3327687067729, 9, 126.63657704161673, [0.0, 0.9993136418033202, 0.0, 0.9999999419145635]], [1385.9756442026305, 1144.2879548184046, 9, 116.63657704161673, [0.0, 0.9999999998715152, 0.0, 0.9999999418973742]], [1383.7339951250788, 1139.8186137693112, 5, 116.63657704161673, [0.0, 0.0, 0.9999999418156671]]]"
23,9.0,0.0730000000000075,0.0,"[[1398.364934237251, 1163.5668823351814, 5, 136.63657704161673, [0.0, 2.3210306897725962e-08, 0.0, 0.9999999993754907]], [1395.3812479175983, 1159.554698896464, 5, 126.63657704161673, [0.0, 0.9999999743374461, 0.0]], [1390.0106125422235, 1152.3327687067729, 9, 126.63657704161673, [0.0, 0.9999999743374461, 0.0, 0.9999999994263633]], [1385.9756442026305, 1144.2879548184046, 9, 116.63657704161673, [0.0, 1.0, 0.0, 0.9999999994251427]], [1383.7339951250788, 1139.8186137693112, 5, 116.63657704161673, [0.0, 0.0, 0.9999999994221183]]]"
24,9.0,0.0730000000000075,0.0,"[[1398.364934237251, 1163.5668823351814, 5, 136.63657704161673, [0.0, 5.66437035144097e-06, 0.0, 0.9999929939999831]], [1395.3812479175983, 1159.554698896464, 5, 126.63657704161673, [0.0, 0.9860413595080086, 0.0]], [1390.0106125422235, 1152.3327687067729, 9, 126.63657704161673, [0.0, 0.9860413595080086, 0.0, 0.9999991414399648]], [1385.9756442026305, 1144.2879548184046, 9, 116.63657704161673, [0.0, 0.9999999701990814, 0.0, 0.999999109730969]], [1383.7339951250788, 1139.8186137693112, 5, 116.63657704161673, [0.0, 0.0, 0.9999989977625767]]]"
27,9.0,0.0730000000000075,0.0,"[[1401.4032627360696, 1166.1975633122565, 1, 126.63657704161673, [0.0, 0.00017353660322993875, 0.0, -0.7720876500194739]], [1398.419576416417, 1162.1853798735392, 5, 126.63657704161673, [0.0, 8.75651076269652e-27, 0.0, 0.9772348803847558]], [1396.1779273388652, 1157.7160388244458, 5, 116.63657704161673, [0.0, 8.75651076269652e-27, 0.0]], [1392.1429589992722, 1149.6712249360776, 9, 116.63657704161673, [0.0, 8.75651076269652e-27, 0.0, 0.7527166898110192]], [1389.566258166667, 1141.047964948158, 9, 106.63657704161673, [0.0, 5.572819220708975e-22, 0.0]]]"
28,9.0,0.0730000000000075,0.0,"[[1401.4032627360696, 1166.1975633122565, 1, 126.63657704161673, [0.0, 0.0010481458798463539, 0.0, -0.9495569875599496]], [1398.419576416417, 1162.1853798735392, 5, 126.63657704161673, [0.0, 8.75651076269652e-27, 0.0, 0.9701175740603958]], [1396.1779273388652, 1157.7160388244458, 5, 116.63657704161673, [0.0, 8.75651076269652e-27, 0.0]], [1392.1429589992722, 1149.6712249360776, 9, 116.63657704161673, [0.0, 8.75651076269652e-27, 0.0, 0.5270142700535201]], [1389.566258166667, 1141.047964948158, 9, 106.63657704161673, [0.0, 3.634188627299069e-17, 0.0, -0.5184505309631123]]]"
