car,time,circuit,goals_crossed,racing_line
5,0.09100000000000819,1.0,0.0,"[[1096.2108685738942, 1289.5632605721682, 5, 163.30075576600638, [0.0, 0.0, 0.0, 0.002578787562690759]], [1091.2450076318457, 1288.979972389332, 5, 173.30075576600638, [0.0, 0.0, 0.0]], [1082.3064579361583, 1287.9300536602266, 9, 173.30075576600638, [0.0, 0.0, 0.0, 7.902762784127649e-26]], [1073.321388421153, 1288.4482484214122, 9, 183.30075576600638, [0.0, 0.0, 0.0]], [1060.3429546772563, 1289.1967519653472, 13, 183.30075576600638, [0.0, 0.0, 0.0, 7.902762784127649e-26]], [1047.6916687806931, 1292.18756542717, 13, 193.30075576600638, [0.0, 0.0, 0.0]]]"
11,0.09100000000000819,1.0,0.0,"[[1096.2108685738942, 1289.5632605721682, 5, 163.30075576600638, [-0.9998521372973109, 0.0, 0.0, 2.5659112134880435]], [1091.743981998696, 1287.3167244998306, 5, 153.30075576600638, [-1.0, 0.0, 0.0]], [1083.7035861633392, 1283.2729595696228, 9, 153.30075576600638, [-1.0, 0.0, 0.0, 20.752616527458517]], [1076.487534418437, 1277.8944284304648, 9, 143.30075576600638, [-1.0, 0.0, 0.0]], [1066.0643485646892, 1270.1254390072365, 13, 143.30075576600638, [-1.0, 0.0, 0.0, 34.392645512936376]], [1057.1485851804885, 1260.6645107611844, 13, 133.30075576600638, [-1.0, 0.0, 0.0]]]"
14,0.09100000000000819,1.0,0.0,"[[1100.1066226849603, 1290.5506927855324, 1, 153.30075576600638, [-0.4101381025296077, 0.0, 0.0, 0.0]], [1095.639736109762, 1288.3041567131947, 5, 153.30075576600638, [-1.0, 0.0, 0.0, 12.051219459444393]], [1091.6308184737052, 1285.316083858107, 5, 143.30075576600638, [-1.0, 0.0, 0.0]], [1084.414766728803, 1279.937552718949, 9, 143.30075576600638, [-1.0, 0.0, 0.0, 12.051219459444393]], [1078.2423151551257, 1273.387679317836, 9, 133.30075576600638, [-1.0, 0.0, 0.0]], [1069.3265517709249, 1263.9267510717839, 13, 133.30075576600638, [-1.0, 0.0, 0.0, 12.051219459444393]]]"
17,0.125,1.0,0.0,"[[1100.0068278115903, 1290.8833423634328, 1, 173.30075576600638, [0.9981597899009489, 0.0, 0.0, 0.0]], [1095.0409668695418, 1290.3000541805966, 5, 173.30075576600638, [0.9937265818880875, 0.0, 0.0, 3.0264737676882705]], [1090.251835443436, 1288.8633147527648, 5, 163.30075576600638, [-0.9997556395861822, 0.0, 0.0]], [1081.6313988764457, 1286.2771837826676, 9, 163.30075576600638, [-0.9997556395861822, 0.0, 0.0, 3.0264737676882705]], [1073.591003041089, 1282.2334188524599, 9, 153.30075576600638, [-1.0, 0.0, 0.0]], [1061.9770979455736, 1276.3924250643818, 13, 153.30075576600638, [-1.0, 0.0, 0.0, 2.762978150973977]], [1051.5539120918259, 1268.6234356411535, 13, 143.30075576600638, [-1.0, 0.0, 0.0]], [1037.9235921292327, 1258.463987933855, 17, 143.30075576600638, [-1.0, 0.0, 0.0, 0.9185088339739194]]]"
23,0.125,1.0,0.0,"[[1100.0068278115903, 1290.8833423634328, 1, 173.30075576600638, [1.0574463244940246, 0.0, 0.0, -0.7903685146692234]], [1095.0409668695418, 1290.3000541805966, 5, 173.30075576600638, [-16.11809565095832, 0.0, 0.0, 1.0]], [1090.251835443436, 1288.8633147527648, 5, 163.30075576600638, [-16.11809565095832, 0.0, 0.0]], [1081.6313988764457, 1286.2771837826676, 9, 163.30075576600638, [-16.11809565095832, 0.0, 0.0, 1.0]], [1073.591003041089, 1282.2334188524599, 9, 153.30075576600638, [-16.11809565095832, 0.0, 0.0]], [1061.9770979455736, 1276.3924250643818, 13, 153.30075576600638, [-16.11809565095832, 0.0, 0.0, 0.9999999999999857]], [1051.5539120918259, 1268.6234356411535, 13, 143.30075576600638, [-16.11809565095832, 0.0, 0.0]], [1037.9235921292327, 1258.463987933855, 17, 143.30075576600638, [-16.11809565095832, 0.0, 0.0, 0.9999998971553307]]]"
16,0.26099999999996726,1.0,0.0,"[[1100.1066226849603, 1290.5506927855324, 1, 153.30075576600638, [-0.936973527567148, 0.0, 0.0, 0.0]], [1099.3048391577488, 1289.9530782145148, 1, 143.30075576600638, [-0.9900258267359341, 0.0, 0.0]], [1098.6190112051179, 1289.22531450328, 1, 133.30075576600638, [-0.9900258267359341, 0.0, 0.0]], [1098.0699773623626, 1288.3895143839277, 1, 123.30075576600638, [-0.9900258267359341, 0.0, 0.0]], [1097.6744197449705, 1287.471073220149, 1, 113.30075576600638, [-0.9900258267359341, 0.0, 0.0]], [1097.4443571709842, 1286.4978973819518, 1, 103.30075576600638, [-0.9900258267359341, 0.0, 0.0]], [1097.3867799752968, 1285.499556324729, 1, 93.30075576600638, [-0.9900258267359341, 0.0, 0.0]], [1097.503437611864, 1284.5063841363192, 1, 83.30075576600638, [-0.9900258267359341, 0.0, 0.0]], [1097.7907854974303, 1283.548557851098, 1, 73.30075576600638, [-0.9900258267359341, 0.0, 0.0]], [1098.240092711898, 1282.6551805360582, 1, 63.300755766006375, [-0.9900258267359341, 0.0, 0.0]], [1098.8377072829155, 1281.8533970088467, 1, 53.300755766006375, [-0.9900258267359341, 0.0, 0.0]], [1099.5654709941502, 1281.1675690562158, 1, 43.300755766006375, [-0.9900258267359341, 0.0, 0.0]], [1100.4012711135026, 1280.6185352134605, 1, 33.300755766006375, [-0.9900258267359341, 0.0, 0.0]], [1101.3197122772813, 1280.2229775960684, 1, 23.300755766006375, [-0.9900258267359341, 0.0, 0.0]], [1102.2928881154785, 1279.9929150220821, 1, 13.300755766006375, [-0.9900258267359341, 0.0, 0.0]]]"
22,0.26099999999996726,1.0,0.0,"[[1100.1066226849603, 1290.5506927855324, 1, 153.30075576600638, [-16.11809565095832, 0.0, 0.0, -0.9703775101744617]], [1099.3048391577488, 1289.9530782145148, 1, 143.30075576600638, [-2.308239532848703, 0.0, -0.6057686296147549]], [1098.6190112051179, 1289.22531450328, 1, 133.30075576600638, [-2.308239532848703, 0.0, -0.6057686296147549]], [1098.0699773623626, 1288.3895143839277, 1, 123.30075576600638, [-2.308239532848703, 0.0, -0.6057686296147549]], [1097.6744197449705, 1287.471073220149, 1, 113.30075576600638, [-2.308239532848703, 0.0, -0.6057686296147549]], [1097.4443571709842, 1286.4978973819518, 1, 103.30075576600638, [-2.308239532848703, 0.0, -0.6057686296147549]], [1097.3867799752968, 1285.499556324729, 1, 93.30075576600638, [-2.308239532848703, 0.0, -0.6057686296147549]], [1097.503437611864, 1284.5063841363192, 1, 83.30075576600638, [-2.308239532848703, 0.0, -0.6057686296147549]], [1097.7907854974303, 1283.548557851098, 1, 73.30075576600638, [-2.308239532848703, 0.0, -0.6057686296147549]], [1098.240092711898, 1282.6551805360582, 1, 63.300755766006375, [-2.308239532848703, 0.0, -0.6057686296147549]], [1098.8377072829155, 1281.8533970088467, 1, 53.300755766006375, [-2.308239532848703, 0.0, -0.6057686296147549]], [1099.5654709941502, 1281.1675690562158, 1, 43.300755766006375, [-2.308239532848703, 0.0, -0.6057686296147549]], [1100.4012711135026, 1280.6185352134605, 1, 33.300755766006375, [-2.308239532848703, 0.0, -0.6057686296147549]], [1101.3197122772813, 1280.2229775960684, 1, 23.300755766006375, [-2.308239532848703, 0.0, -0.6057686296147549]], [1102.2928881154785, 1279.9929150220821, 1, 13.300755766006375, [-2.308239532848703, 0.0, -0.6057686296147549]]]"
26,0.26099999999996726,1.0,0.0,"[[1100.1066226849603, 1290.5506927855324, 1, 153.30075576600638, [-16.11809565095832, 0.0, 0.0, 0.0]], [1099.3048391577488, 1289.9530782145148, 1, 143.30075576600638, [-16.11809565095832, 0.0, 0.0]], [1098.6190112051179, 1289.22531450328, 1, 133.30075576600638, [-16.11809565095832, 0.0, 0.0]], [1098.0699773623626, 1288.3895143839277, 1, 123.30075576600638, [-16.11809565095832, 0.0, 0.0]], [1097.6744197449705, 1287.471073220149, 1, 113.30075576600638, [-16.11809565095832, 0.0, 0.0]], [1097.4443571709842, 1286.4978973819518, 1, 103.30075576600638, [-16.11809565095832, 0.0, 0.0]], [1097.3867799752968, 1285.499556324729, 1, 93.30075576600638, [-16.11809565095832, 0.0, 0.0]], [1097.503437611864, 1284.5063841363192, 1, 83.30075576600638, [-16.11809565095832, 0.0, 0.0]], [1097.7907854974303, 1283.548557851098, 1, 73.30075576600638, [-16.11809565095832, 0.0, 0.0]], [1098.240092711898, 1282.6551805360582, 1, 63.300755766006375, [-16.11809565095832, 0.0, 0.0]], [1098.8377072829155, 1281.8533970088467, 1, 53.300755766006375, [-16.11809565095832, 0.0, 0.0]], [1099.5654709941502, 1281.1675690562158, 1, 43.300755766006375, [-16.11809565095832, 0.0, 0.0]], [1100.4012711135026, 1280.6185352134605, 1, 33.300755766006375, [-16.11809565095832, 0.0, 0.0]], [1101.3197122772813, 1280.2229775960684, 1, 23.300755766006375, [-16.11809565095832, 0.0, 0.0]], [1102.2928881154785, 1279.9929150220821, 1, 13.300755766006375, [-16.11809565095832, 0.0, 0.0]]]"
28,0.26099999999996726,1.0,0.0,"[[1100.1066226849603, 1290.5506927855324, 1, 153.30075576600638, [-16.11809565095832, 0.0, 0.0, -0.999863497006161]], [1099.3048391577488, 1289.9530782145148, 1, 143.30075576600638, [-16.11809565095832, 0.0, -1.0]], [1098.6190112051179, 1289.22531450328, 1, 133.30075576600638, [-16.11809565095832, 0.0, -1.0]], [1098.0699773623626, 1288.3895143839277, 1, 123.30075576600638, [-16.11809565095832, 0.0, -1.0]], [1097.6744197449705, 1287.471073220149, 1, 113.30075576600638, [-16.11809565095832, 0.0, -1.0]], [1097.4443571709842, 1286.4978973819518, 1, 103.30075576600638, [-16.11809565095832, 0.0, -1.0]], [1097.3867799752968, 1285.499556324729, 1, 93.30075576600638, [-16.11809565095832, 0.0, -1.0]], [1097.503437611864, 1284.5063841363192, 1, 83.30075576600638, [-16.11809565095832, 0.0, -1.0]], [1097.7907854974303, 1283.548557851098, 1, 73.30075576600638, [-16.11809565095832, 0.0, -1.0]], [1098.240092711898, 1282.6551805360582, 1, 63.300755766006375, [-16.11809565095832, 0.0, -1.0]], [1098.8377072829155, 1281.8533970088467, 1, 53.300755766006375, [-16.11809565095832, 0.0, -1.0]], [1099.5654709941502, 1281.1675690562158, 1, 43.300755766006375, [-16.11809565095832, 0.0, -1.0]], [1100.4012711135026, 1280.6185352134605, 1, 33.300755766006375, [-16.11809565095832, 0.0, -1.0]], [1101.3197122772813, 1280.2229775960684, 1, 23.300755766006375, [-16.11809565095832, 0.0, -1.0]], [1102.2928881154785, 1279.9929150220821, 1, 13.300755766006375, [-16.11809565095832, 0.0, -1.0]]]"
0,0.27899999999999636,1.0,0.0,"[[1100.0068278115903, 1290.8833423634328, 1, 173.30075576600638, [0.12108621008072312, 0.0, 0.0, -16.11809565095832]], [1099.0084867543674, 1290.9409195591202, 1, 183.30075576600638, [0.0, 0.0, -16.11809565095832]], [1098.0353109161701, 1291.1709821331065, 1, 193.30075576600638, [0.0, 0.0, -16.11809565095832]], [1097.1168697523915, 1291.5665397504986, 1, 203.30075576600638, [0.0, 0.0, -16.11809565095832]], [1096.2810696330391, 1292.1155735932539, 1, 213.30075576600638, [0.0, 0.0, -16.11809565095832]], [1095.5533059218044, 1292.8014015458848, 1, 223.30075576600638, [0.0, 0.0, -16.11809565095832]], [1094.9556913507868, 1293.6031850730963, 1, 233.30075576600638, [0.0, 0.0, -16.11809565095832]], [1094.5063841363192, 1294.496562388136, 1, 243.30075576600638, [0.0, 0.0, -16.11809565095832]], [1094.2190362507529, 1295.4543886733572, 1, 253.30075576600638, [0.0, 0.0, -16.11809565095832]], [1094.1023786141857, 1296.447560861767, 1, 263.3007557660064, [0.0, 0.0, -16.11809565095832]], [1094.159955809873, 1297.4459019189899, 1, 273.3007557660064, [0.0, 0.0, -16.11809565095832]], [1094.3900183838593, 1298.419077757187, 1, 283.3007557660064, [0.0, 0.0, -16.11809565095832]], [1094.7855760012515, 1299.3375189209657, 1, 293.3007557660064, [0.0, 0.0, -16.11809565095832]], [1095.3346098440068, 1300.1733190403181, 1, 303.3007557660064, [0.0, 0.0, -16.11809565095832]], [1096.0204377966377, 1300.9010827515528, 1, 313.3007557660064, [0.0, 0.0, -16.11809565095832]], [1096.8222213238491, 1301.4986973225705, 1, 323.3007557660064, [0.0, 0.0, -16.11809565095832]]]"
1,0.27899999999999636,1.0,0.0,"[[1100.0068278115903, 1290.8833423634328, 1, 173.30075576600638, [0.0, 0.0, 0.0, -16.11809565095832]], [1099.0084867543674, 1290.9409195591202, 1, 183.30075576600638, [0.0, 0.0, -16.11809565095832]], [1098.0353109161701, 1291.1709821331065, 1, 193.30075576600638, [0.0, 0.0, -16.11809565095832]], [1097.1168697523915, 1291.5665397504986, 1, 203.30075576600638, [0.0, 0.0, -16.11809565095832]], [1096.2810696330391, 1292.1155735932539, 1, 213.30075576600638, [0.0, 0.0, -16.11809565095832]], [1095.5533059218044, 1292.8014015458848, 1, 223.30075576600638, [0.0, 0.0, -16.11809565095832]], [1094.9556913507868, 1293.6031850730963, 1, 233.30075576600638, [0.0, 0.0, -16.11809565095832]], [1094.5063841363192, 1294.496562388136, 1, 243.30075576600638, [0.0, 0.0, -16.11809565095832]], [1094.2190362507529, 1295.4543886733572, 1, 253.30075576600638, [0.0, 0.0, -16.11809565095832]], [1094.1023786141857, 1296.447560861767, 1, 263.3007557660064, [0.0, 0.0, -16.11809565095832]], [1094.159955809873, 1297.4459019189899, 1, 273.3007557660064, [0.0, 0.0, -16.11809565095832]], [1094.3900183838593, 1298.419077757187, 1, 283.3007557660064, [0.0, 0.0, -16.11809565095832]], [1094.7855760012515, 1299.3375189209657, 1, 293.3007557660064, [0.0, 0.0, -16.11809565095832]], [1095.3346098440068, 1300.1733190403181, 1, 303.3007557660064, [0.0, 0.0, -16.11809565095832]], [1096.0204377966377, 1300.9010827515528, 1, 313.3007557660064, [0.0, 0.0, -16.11809565095832]], [1096.8222213238491, 1301.4986973225705, 1, 323.3007557660064, [0.0, 0.0, -16.11809565095832]]]"
