car,racing_line
4,"[[849.3185165257813, 914.8236190979496], [866.63902460147, 904.8236190979496], [880.781160225201, 890.6814834742187], [890.781160225201, 873.36097539853]]"
3,"[[849.3185165257813, 914.8236190979496], [866.63902460147, 904.8236190979496], [880.4954310620211, 896.8236190979496], [890.8877359074344, 890.8236190979496], [901.2800407528476, 884.8236190979496], [911.6723455982609, 878.8236190979496], [922.0646504436742, 872.8236190979496]]"
5,"[[849.3185165257813, 914.8236190979496], [866.63902460147, 904.8236190979496], [880.4954310620211, 896.8236190979496], [890.8877359074344, 890.8236190979496], [901.2800407528476, 884.8236190979496], [911.6723455982609, 878.8236190979496], [922.0646504436742, 872.8236190979496]]"
9,"[[849.3185165257813, 914.8236190979496], [869.6029588778517, 909.3884191507967], [890.8533270562112, 903.6944001585413], [913.0696210608598, 897.7415621211833], [936.2518408917974, 891.5299050387227], [960.3999865490241, 885.0594289111598], [985.5140580325399, 878.3301337384943], [1011.5940553423447, 871.3420195207262], [1033.8103493469932, 865.3891814833682], [1052.1629400464856, 860.4716196264203], [1066.6518274408215, 856.5893339498825], [1082.1066406614466, 852.4482292282422], [1098.5273797083607, 848.0483054614994], [1115.914044581564, 843.389562649654], [1134.2666352810563, 838.472000792706], [1153.5851518068378, 833.2956198906556], [1169.0399650274628, 829.1545151690153], [1180.6310749429317, 826.0486866277851], [1192.2221848584006, 822.9428580865548], [1203.8132947738695, 819.8370295453245], [1215.4044046893384, 816.7312010040943], [1226.9955146048073, 813.625372462864], [1238.5866245202762, 810.5195439216337], [1250.1777344357452, 807.4137153804035], [1261.768844351214, 804.3078868391732], [1274.325880092972, 800.9432392528404], [1287.848841661019, 797.3197726214051], [1302.3377290553549, 793.4374869448674]]"
7,"[[849.3185165257813, 914.8236190979496], [869.6029588778517, 909.3884191507967], [890.8533270562112, 903.6944001585413], [908.2399919294145, 899.0356573466959], [921.7629534974615, 895.4121907152606], [931.4222117603522, 892.8240002642355], [941.0814700232429, 890.2358098132103], [950.7407282861336, 887.6476193621851], [960.3999865490243, 885.0594289111599], [970.059244811915, 882.4712384601347], [979.7185030748058, 879.8830480091095], [989.3777613376965, 877.2948575580843], [999.0370196005872, 874.7066671070592], [1008.6962778634779, 872.118476656034], [1018.3555361263686, 869.5302862050088], [1028.0147943892594, 866.9420957539836], [1037.67405265215, 864.3539053029584], [1047.3333109150408, 861.7657148519332], [1056.9925691779315, 859.177524400908], [1065.652823215776, 854.177524400908], [1074.3130772536203, 849.177524400908], [1082.9733312914648, 844.177524400908], [1091.6335853293092, 839.177524400908], [1098.7046531411747, 832.1064565890425], [1105.7757209530403, 825.035388777177], [1110.7757209530403, 816.3751347393326], [1115.7757209530403, 807.7148807014881], [1120.7757209530403, 799.0546266636437], [1125.7757209530403, 790.3943726257993], [1130.7757209530403, 781.7341185879549], [1135.7757209530403, 773.0738645501104], [1140.7757209530403, 764.413610512266]]"
8,"[[849.3185165257813, 914.8236190979496], [864.7733297464064, 910.6825143763093], [876.3644396618752, 907.576685835079], [887.955549577344, 904.4708572938488], [899.5466594928128, 901.3650287526185], [911.1377694082815, 898.2592002113882], [922.7288793237503, 895.153371670158], [934.3199892392191, 892.0475431289277], [945.9110991546879, 888.9417145876974], [957.5022090701567, 885.8358860464672], [969.0933189856255, 882.7300575052369], [980.6844289010943, 879.6242289640066], [992.2755388165631, 876.5184004227764], [1003.8666487320319, 873.4125718815461], [1015.4577586475007, 870.3067433403158], [1027.0488685629696, 867.2009147990856], [1038.6399784784385, 864.0950862578553], [1050.2310883939074, 860.989257716625], [1061.8221983093763, 857.8834291753948], [1073.4133082248452, 854.7776006341645], [1085.004418140314, 851.6717720929342], [1096.595528055783, 848.565943551704], [1108.186637971252, 845.4601150104737], [1119.7777478867208, 842.3542864692434], [1131.3688578021897, 839.2484579280132], [1142.9599677176586, 836.1426293867829], [1154.5510776331275, 833.0368008455526], [1166.1421875485964, 829.9309723043224], [1177.7332974640653, 826.8251437630921], [1189.3244073795343, 823.7193152218618], [1200.9155172950032, 820.6134866806316], [1212.506627210472, 817.5076581394013], [1224.097737125941, 814.401829598171], [1235.6888470414099, 811.2960010569408], [1247.2799569568788, 808.1901725157105], [1258.8710668723477, 805.0843439744802], [1270.4621767878166, 801.97851543325], [1282.0532867032855, 798.8726868920197], [1293.6443966187544, 795.7668583507894]]"
2,"[[849.3185165257813, 914.8236190979496], [864.7733297464064, 910.6825143763093], [876.3644396618752, 907.576685835079], [887.955549577344, 904.4708572938488], [899.5466594928128, 901.3650287526185], [911.1377694082815, 898.2592002113882], [922.7288793237503, 895.153371670158], [934.3199892392191, 892.0475431289277], [945.9110991546879, 888.9417145876974], [957.5022090701567, 885.8358860464672], [969.0933189856255, 882.7300575052369], [980.6844289010943, 879.6242289640066], [992.2755388165631, 876.5184004227764], [1003.8666487320319, 873.4125718815461], [1015.4577586475007, 870.3067433403158], [1027.0488685629696, 867.2009147990856], [1038.6399784784385, 864.0950862578553], [1050.2310883939074, 860.989257716625], [1061.8221983093763, 857.8834291753948], [1073.4133082248452, 854.7776006341645], [1085.004418140314, 851.6717720929342], [1096.595528055783, 848.565943551704], [1108.186637971252, 845.4601150104737], [1119.7777478867208, 842.3542864692434], [1132.3347836284788, 838.9896388829106], [1145.8577451965257, 835.3661722514754], [1155.5170034594164, 832.7779818004502], [1165.1762617223071, 830.189791349425], [1174.8355199851978, 827.6016008983999], [1184.4947782480886, 825.0134104473747], [1194.1540365109793, 822.4252199963495], [1203.81329477387, 819.8370295453243], [1213.4725530367607, 817.2488390942991], [1223.1318112996514, 814.6606486432739], [1232.7910695625421, 812.0724581922487], [1242.4503278254329, 809.4842677412236], [1252.1095860883236, 806.8960772901984], [1261.7688443512143, 804.3078868391732], [1271.428102614105, 801.719696388148], [1281.0873608769957, 799.1315059371228], [1291.7125449661755, 796.2844964409951]]"
6,"[[849.3185165257813, 914.8236190979496], [864.7733297464064, 910.6825143763093], [876.3644396618752, 907.576685835079], [887.955549577344, 904.4708572938488], [899.5466594928128, 901.3650287526185], [911.1377694082815, 898.2592002113882], [922.7288793237503, 895.153371670158], [934.3199892392191, 892.0475431289277], [945.9110991546879, 888.9417145876974], [957.5022090701567, 885.8358860464672], [969.0933189856255, 882.7300575052369], [980.6844289010943, 879.6242289640066], [992.2755388165631, 876.5184004227764], [1003.8666487320319, 873.4125718815461], [1015.4577586475007, 870.3067433403158], [1027.0488685629696, 867.2009147990856], [1038.6399784784385, 864.0950862578553], [1050.2310883939074, 860.989257716625], [1061.8221983093763, 857.8834291753948], [1073.4133082248452, 854.7776006341645], [1085.004418140314, 851.6717720929342], [1096.595528055783, 848.565943551704], [1108.186637971252, 845.4601150104737], [1119.7777478867208, 842.3542864692434], [1132.3347836284788, 838.9896388829106], [1145.8577451965257, 835.3661722514754], [1155.5170034594164, 832.7779818004502], [1165.1762617223071, 830.189791349425], [1174.8355199851978, 827.6016008983999], [1184.4947782480886, 825.0134104473747], [1194.1540365109793, 822.4252199963495], [1203.81329477387, 819.8370295453243], [1213.4725530367607, 817.2488390942991], [1223.1318112996514, 814.6606486432739], [1232.7910695625421, 812.0724581922487], [1242.4503278254329, 809.4842677412236], [1252.1095860883236, 806.8960772901984], [1261.7688443512143, 804.3078868391732], [1271.428102614105, 801.719696388148], [1281.0873608769957, 799.1315059371228], [1290.7466191398864, 796.5433154860976]]"
0,"[[849.3185165257813, 914.8236190979496], [869.6029588778517, 909.3884191507967], [890.8533270562112, 903.6944001585413], [908.2399919294145, 899.0356573466959], [921.7629534974615, 895.4121907152606], [931.4222117603522, 892.8240002642355], [941.0814700232429, 890.2358098132103], [950.7407282861336, 887.6476193621851], [960.3999865490243, 885.0594289111599], [970.059244811915, 882.4712384601347], [979.7185030748058, 879.8830480091095], [989.3777613376965, 877.2948575580843], [999.0370196005872, 874.7066671070592], [1008.6962778634779, 872.118476656034], [1018.3555361263686, 869.5302862050088], [1028.0147943892594, 866.9420957539836], [1037.67405265215, 864.3539053029584], [1047.3333109150408, 861.7657148519332], [1056.9925691779315, 859.177524400908], [1066.6518274408222, 856.5893339498829], [1076.311085703713, 854.0011434988577], [1085.9703439666037, 851.4129530478325], [1096.5955280557835, 848.5659435517048], [1108.1866379712524, 845.4601150104745], [1120.7436737130104, 842.0954674241417], [1134.2666352810572, 838.4720007927065], [1148.7555226753932, 834.5897151161687], [1159.380706764573, 831.742705620041], [1170.0058908537528, 828.8956961239132], [1180.6310749429326, 826.0486866277855], [1191.2562590321124, 823.2016771316578], [1201.8814431212922, 820.3546676355301], [1212.506627210472, 817.5076581394023], [1223.1318112996519, 814.6606486432746], [1233.7569953888317, 811.8136391471469], [1244.3821794780115, 808.9666296510192], [1255.0073635671913, 806.1196201548914], [1265.6325476563711, 803.2726106587637], [1276.257731745551, 800.425601162636], [1286.8829158347307, 797.5785916665083], [1297.5080999239105, 794.7315821703805], [1308.5080999239105, 794.7315821703805]]"
1,"[[849.3185165257813, 914.8236190979496], [869.6029588778517, 909.3884191507967], [890.8533270562112, 903.6944001585413], [908.2399919294145, 899.0356573466959], [921.7629534974615, 895.4121907152606], [931.4222117603522, 892.8240002642355], [941.0814700232429, 890.2358098132103], [950.7407282861336, 887.6476193621851], [960.3999865490243, 885.0594289111599], [970.059244811915, 882.4712384601347], [979.7185030748058, 879.8830480091095], [989.3777613376965, 877.2948575580843], [999.0370196005872, 874.7066671070592], [1008.6962778634779, 872.118476656034], [1018.3555361263686, 869.5302862050088], [1028.0147943892594, 866.9420957539836], [1037.67405265215, 864.3539053029584], [1047.3333109150408, 861.7657148519332], [1056.9925691779315, 859.177524400908], [1066.6518274408222, 856.5893339498829], [1076.311085703713, 854.0011434988577], [1085.9703439666037, 851.4129530478325], [1096.5955280557835, 848.5659435517048], [1108.1866379712524, 845.4601150104745], [1120.7436737130104, 842.0954674241417], [1134.2666352810572, 838.4720007927065], [1148.7555226753932, 834.5897151161687], [1159.380706764573, 831.742705620041], [1170.0058908537528, 828.8956961239132], [1180.6310749429326, 826.0486866277855], [1191.2562590321124, 823.2016771316578], [1201.8814431212922, 820.3546676355301], [1212.506627210472, 817.5076581394023], [1223.1318112996519, 814.6606486432746], [1233.7569953888317, 811.8136391471469], [1244.3821794780115, 808.9666296510192], [1255.0073635671913, 806.1196201548914], [1265.6325476563711, 803.2726106587637], [1276.257731745551, 800.425601162636], [1286.8829158347307, 797.5785916665083], [1297.5080999239105, 794.7315821703805], [1308.1332840130904, 791.8845726742528]]"
